,latitude,longitude,state,store_count
0,18.0,-66.6,PR,1
1,18.0,-66.4,PR,1
2,18.0,-66.1,PR,1
3,18.1,-66.6,PR,1
4,18.1,-66.1,PR,1
5,18.1,-65.8,PR,1
6,18.2,-67.1,PR,1
7,18.2,-66.0,PR,1
8,18.3,-65.7,PR,1
9,18.4,-66.5,PR,2
10,18.4,-66.3,PR,1
11,18.4,-66.2,PR,1
12,18.4,-66.1,PR,1
13,18.4,-66.0,PR,1
14,18.4,-65.9,PR,1
15,18.5,-67.0,PR,1
16,18.5,-66.8,PR,1
17,19.6,-156.0,HI,1
18,19.7,-155.1,HI,1
19,20.9,-156.5,HI,1
20,21.3,-158.1,HI,1
21,21.3,-157.9,HI,1
22,21.3,-157.8,HI,1
23,21.4,-158.0,HI,2
24,21.5,-158.0,HI,1
25,22.0,-159.4,HI,1
26,25.5,-80.5,FL,2
27,25.5,-80.4,FL,2
28,25.6,-80.4,FL,1
29,25.7,-80.4,FL,1
30,25.8,-80.3,FL,3
31,25.9,-97.5,TX,1
32,25.9,-80.4,FL,1
33,25.9,-80.3,FL,4
34,25.9,-80.2,FL,2
35,26.0,-97.5,TX,2
36,26.0,-80.4,FL,1
37,26.0,-80.3,FL,3
38,26.0,-80.2,FL,2
39,26.0,-80.1,FL,2
40,26.1,-98.2,TX,1
41,26.1,-98.0,TX,1
42,26.1,-97.6,TX,1
43,26.1,-97.5,TX,1
44,26.1,-97.2,TX,1
45,26.1,-81.8,FL,1
46,26.1,-81.7,FL,2
47,26.1,-80.3,FL,4
48,26.1,-80.2,FL,1
49,26.2,-98.4,TX,1
50,26.2,-98.3,TX,2
51,26.2,-98.2,TX,3
52,26.2,-98.1,TX,1
53,26.2,-98.0,TX,2
54,26.2,-97.7,TX,1
55,26.2,-81.8,FL,1
56,26.2,-80.3,FL,3
57,26.2,-80.2,FL,4
58,26.2,-80.1,FL,1
59,26.3,-98.3,TX,1
60,26.3,-98.2,TX,4
61,26.3,-98.0,TX,1
62,26.3,-81.8,FL,1
63,26.3,-81.7,FL,1
64,26.3,-80.3,FL,2
65,26.3,-80.2,FL,3
66,26.3,-80.1,FL,2
67,26.4,-98.8,TX,1
68,26.4,-80.1,FL,2
69,26.5,-81.9,FL,2
70,26.5,-81.8,FL,1
71,26.5,-80.1,FL,4
72,26.6,-82.0,FL,2
73,26.6,-81.9,FL,2
74,26.6,-81.8,FL,1
75,26.6,-81.7,FL,1
76,26.6,-80.2,FL,1
77,26.6,-80.1,FL,5
78,26.7,-81.9,FL,2
