,city,state,zip_code,latitude,longitude
0,Abbeville,LA,70510,30.0,-92.1
1,Aberdeen,MD,21001,39.5,-76.2
2,Aberdeen,NC,28315,35.2,-79.4
3,Aberdeen,SD,57401,45.5,-98.4
4,Aberdeen,WA,98520,47.0,-123.8
5,Abilene,TX,79601,32.5,-99.7
6,Abilene,TX,79601,32.5,-99.7
7,Abilene,TX,79606,32.4,-99.8
8,Abingdon,MD,21009,39.5,-76.3
9,Abingdon,VA,24211,36.7,-81.9
10,Abington,MA,2351,42.1,-71.0
11,Acworth,GA,30101,34.0,-84.7
12,Ada,OK,74820,34.8,-96.7
13,Addison,IL,60101,41.9,-88.0
14,Adel,GA,31620,31.1,-83.4
15,Adrian,MI,49221,41.9,-84.0
16,Ahoskie,NC,27910,36.3,-77.0
17,Aiken,SC,29801,33.6,-81.8
18,Aiken,SC,29803,33.5,-81.7
19,Akron,OH,44312,41.0,-81.5
20,Alabaster,AL,35007,33.2,-86.8
21,Alabaster,AL,35007,33.2,-86.8
22,Alameda,NM,87114,35.2,-106.7
23,Alamo,TX,78516,26.2,-98.1
24,Alamogordo,NM,88310,32.9,-106.0
25,Alamogordo,NM,88310,32.9,-105.9
26,Alamosa,CO,81101,37.5,-105.9
27,Albany,GA,31701,31.6,-84.2
28,Albany,GA,31705,31.6,-84.1
29,Albany,GA,31707,31.6,-84.2
30,Albany,GA,31707,31.6,-84.2
31,Albany,NY,12205,42.7,-73.8
32,Albany,OR,97322,44.6,-123.1
33,Albemarle,NC,28001,35.3,-80.2
34,Albert Lea,MN,56007,43.7,-93.3
35,Albion,NY,14411,43.2,-78.2
36,Albuquerque,NM,87108,35.1,-106.6
37,Albuquerque,NM,87110,35.1,-106.6
38,Albuquerque,NM,87110,35.1,-106.6
39,Albuquerque,NM,87111,35.1,-106.5
40,Albuquerque,NM,87111,35.1,-106.5
41,Albuquerque,NM,87112,35.1,-106.5
42,Albuquerque,NM,87112,35.1,-106.5
43,Albuquerque,NM,87114,35.2,-106.7
44,Albuquerque,NM,87120,35.1,-106.7
45,Albuquerque,NM,87120,35.1,-106.7
46,Albuquerque,NM,87121,35.0,-106.7
47,Albuquerque,NM,87121,35.1,-106.7
48,Albuquerque,NM,87123,35.1,-106.5
49,Alcoa,TN,37701,35.8,-84.0
50,Aledo,IL,61231,41.2,-90.7
51,Alexander City,AL,35010,32.9,-86.0
52,Alexandria,KY,41001,39.0,-84.4
53,Alexandria,LA,71301,31.3,-92.5
54,Alexandria,LA,71301,31.3,-92.5
55,Alexandria,LA,71303,31.3,-92.5
56,Alexandria,MN,56308,45.8,-95.4
57,Alexandria,VA,22306,38.7,-77.1
58,Alexandria,VA,22306,38.8,-77.1
59,Alexandria,VA,22315,38.8,-77.1
60,Algonquin,IL,60102,42.2,-88.3
61,Algood,TN,38506,36.2,-85.5
62,Alice,TX,78332,27.8,-98.0
63,Allen,TX,75002,33.1,-96.6
64,Allen,TX,75013,33.1,-96.7
65,Allentown,PA,18106,40.6,-75.6
66,Alliance,OH,44601,40.9,-81.2
67,Alma,AR,72921,35.5,-94.2
68,Alma,MI,48801,43.4,-84.7
69,Alpena,MI,49707,45.1,-83.5
70,Alpharetta,GA,30004,34.1,-84.3
71,Alpharetta,GA,30004,34.2,-84.2
72,Altamonte Springs,FL,32714,28.7,-81.4
73,Altavista,VA,24517,37.1,-79.3
74,Altoona,IA,50009,41.6,-93.5
75,Altoona,PA,16601,40.5,-78.4
76,Altus,OK,73521,34.7,-99.3
77,Alva,OK,73717,36.8,-98.6
78,Alvin,TX,77511,29.4,-95.2
79,Amarillo,TX,79103,35.2,-101.8
80,Amarillo,TX,79106,35.2,-101.9
81,Amarillo,TX,79109,35.1,-101.9
82,Amarillo,TX,79110,35.1,-101.9
83,Amarillo,TX,79110,35.2,-101.9
84,Amarillo,TX,79118,35.2,-101.8
85,Amarillo,TX,79119,35.2,-101.9
86,Amelia,OH,45102,39.0,-84.2
87,American Canyon,CA,94503,38.2,-122.3
88,American Fork,UT,84003,40.4,-111.8
89,Americus,GA,31709,32.1,-84.2
90,Ames,IA,50010,42.0,-93.6
91,Ames,IA,50010,42.1,-93.6
92,Amherst,NH,3031,42.8,-71.6
93,Amherst,NY,14226,43.0,-78.8
94,Amite,LA,70422,30.7,-90.5
95,Ammon,ID,83406,43.5,-112.0
96,Amory,MS,38821,34.0,-88.5
97,Amsterdam,NY,12010,43.0,-74.2
98,Anadarko,OK,73005,35.1,-98.3
99,Anaheim,CA,92801,33.8,-118.0
100,Anaheim,CA,92801,33.8,-117.9
101,Anaheim,CA,92801,33.9,-117.9
102,Anaheim,CA,92805,33.8,-117.9
103,Anamosa,IA,52205,42.1,-91.3
104,Anchorage,AK,99503,61.2,-149.9
105,Anchorage,AK,99504,61.2,-149.7
106,Anchorage,AK,99515,61.1,-149.9
107,Andalusia,AL,36420,31.3,-86.4
108,Anderson,CA,96007,40.4,-122.3
109,Anderson,IN,46013,40.1,-85.6
110,Anderson,SC,29621,34.5,-82.6
111,Anderson,SC,29621,34.6,-82.7
112,Anderson,SC,29624,34.5,-82.7
113,Andover,MN,55304,45.2,-93.3
114,Angleton,TX,77515,29.2,-95.4
115,Angola,IN,46703,41.7,-85.0
116,Ankeny,IA,50021,41.7,-93.6
117,Anna,IL,62906,37.5,-89.2
118,Anna,TX,75409,33.3,-96.6
119,Anniston,AL,36206,33.7,-85.8
120,Antelope,CA,95843,38.7,-121.4
121,Anthem,AZ,85086,33.9,-112.2
122,Antigo,WI,54409,45.2,-89.1
123,Antioch,CA,94531,38.0,-121.8
124,Antioch,IL,60002,42.5,-88.1
125,Antioch,TN,37013,36.1,-86.6
126,Apache Junction,AZ,85120,33.4,-111.6
127,Apex,NC,27502,35.7,-78.8
128,Apopka,FL,32703,28.6,-81.5
129,Apple Valley,CA,92307,34.5,-117.2
130,Apple Valley,MN,55124,44.7,-93.2
131,Appleton,WI,54913,44.3,-88.5
132,Appleton,WI,54915,44.2,-88.4
133,Appomattox,VA,24522,37.4,-78.8
134,Arab,AL,35016,34.3,-86.5
135,Aransas Pass,TX,78336,27.9,-97.2
136,Arbutus,MD,21227,39.2,-76.7
137,Arcadia,FL,34266,27.2,-81.8
138,Archdale,NC,27263,35.9,-79.9
139,Arden,NC,28704,35.5,-82.5
140,Ardmore,OK,73401,34.2,-97.1
141,Arkadelphia,AR,71923,34.1,-93.1
142,Arkansas City,KS,67005,37.1,-97.0
143,Arlington,TX,76011,32.8,-97.1
144,Arlington,TX,76011,32.8,-97.1
145,Arlington,TX,76017,32.6,-97.1
146,Arlington,TX,76017,32.7,-97.2
147,Arlington,TX,76017,32.7,-97.2
148,Arlington,TX,76017,32.7,-97.1
149,Arlington,WA,98223,48.2,-122.2
150,Arnold,MO,63010,38.4,-90.4
151,Arroyo Grande,CA,93420,35.1,-120.6
