city,state,zip_code,latitude,longitude
Abbeville,LA,70510,29.972971,-92.095051
Aberdeen,MD,21001,39.49498,-76.177507
Aberdeen,NC,28315,35.159693,-79.424516
Aberdeen,SD,57401,45.456105,-98.436532
Aberdeen,WA,98520,46.975337,-123.806587
Abilene,TX,79601,32.473542,-99.738532
Abilene,TX,79601,32.48087,-99.698021
Abilene,TX,79606,32.41097,-99.781732
Abingdon,MD,21009,39.4621,-76.3147
Abingdon,VA,24211,36.714643,-81.927722
Abington,MA,2351,42.096281,-70.968603
Acworth,GA,30101,34.048696,-84.698029
Ada,OK,74820,34.789127,-96.65614
Addison,IL,60101,41.949795,-88.033948
Adel,GA,31620,31.133256,-83.440227
Adrian,MI,49221,41.872722,-84.031302
Ahoskie,NC,27910,36.2650989,-76.968785
Aiken,SC,29801,33.561222,-81.767261
Aiken,SC,29803,33.518173,-81.71954
Akron,OH,44312,40.992609,-81.489153
Alabaster,AL,35007,33.212574,-86.828967
Alabaster,AL,35007,33.2355308,-86.801229
Alameda,NM,87114,35.180495,-106.68984
Alamo,TX,78516,26.191058,-98.131301
Alamogordo,NM,88310,32.887165,-105.957543
Alamogordo,NM,88310,32.916186,-105.930871
Alamosa,CO,81101,37.482281,-105.904108
Albany,GA,31701,31.613341,-84.174185
Albany,GA,31705,31.578974,-84.086699
Albany,GA,31707,31.583836,-84.218466
Albany,GA,31707,31.624849,-84.213742
Albany,NY,12205,42.694877,-73.847121
Albany,OR,97322,44.627025,-123.051328
Albemarle,NC,28001,35.339904,-80.175704
Albert Lea,MN,56007,43.664017,-93.325601
Albion,NY,14411,43.234153,-78.226188
Albuquerque,NM,87108,35.076253,-106.587623
Albuquerque,NM,87110,35.104694,-106.592207
Albuquerque,NM,87110,35.111968,-106.608114
Albuquerque,NM,87111,35.129841,-106.516849
Albuquerque,NM,87111,35.144791,-106.549888
Albuquerque,NM,87112,35.1068343,-106.5485899
Albuquerque,NM,87112,35.109522,-106.517784
Albuquerque,NM,87114,35.204341,-106.656674
Albuquerque,NM,87120,35.103046,-106.727972
Albuquerque,NM,87120,35.110211,-106.700726
Albuquerque,NM,87121,35.02609,-106.710858
Albuquerque,NM,87121,35.054712,-106.739343
Albuquerque,NM,87123,35.079638,-106.52942
Alcoa,TN,37701,35.771244,-83.99179
Aledo,IL,61231,41.197904,-90.731953
Alexander City,AL,35010,32.941317,-85.975832
Alexandria,KY,41001,38.988376,-84.401131
Alexandria,LA,71301,31.270914,-92.487231
Alexandria,LA,71301,31.278583,-92.451864
Alexandria,LA,71303,31.292001,-92.513688
Alexandria,MN,56308,45.84835,-95.382454
Alexandria,VA,22306,38.74376,-77.087484
Alexandria,VA,22306,38.780009,-77.076589
Alexandria,VA,22315,38.76932,-77.136059
Algonquin,IL,60102,42.155217,-88.339729
