,name,street_address,city,state,latitude,longitude,store_id
0,Conway Supercenter,1155 Hwy 65 North,Conway,AR,35.10866,-92.436905,097d30f2-bcdd-455d-8f76-b5898641a7a6
1,Sikeston Supercenter,1303 S Main St,Sikeston,MO,36.857394,-89.586051,b440c9ee-e8f8-47fa-9ff6-0d5f2592f0af
2,Tahlequah Supercenter,2020 S Muskogee Ave,Tahlequah,OK,35.888765,-94.979859,39320b89-9970-44c5-a507-8cf53cc211e4
3,Mountain Home Supercenter,65 Wal Mart Dr,Mountain Home,AR,36.3549565,-92.3410256,63a928b8-7310-457a-8c6d-bda6a43deb59
4,Claremore Supercenter,1500 S Lynn Riggs Blvd,Claremore,OK,36.293955,-95.627125,7f34ae06-ec2d-4149-9eb4-f74ef106fbe5
5,Carthage Supercenter,2705 Grand Ave,Carthage,MO,37.141958,-94.313292,0c079420-6020-439f-bc6e-443d7d311376
6,Rogers Supercenter,2110 W Walnut St,Rogers,AR,36.3313,-94.149024,32f8701c-0f16-446d-a7cf-3ea16f02f052
7,Siloam Springs Supercenter,2901 Highway 412 E,Siloam Springs,AR,36.183467,-94.512608,07576ee7-03c7-4e2f-a702-a61672fdc730
8,Lebanon Supercenter,1800 S Jefferson Ave,Lebanon,MO,37.663493,-92.645849,308af8f8-a745-4907-9bad-d215d58d8b5c
9,West Plains Supercenter,1310 Preacher Roe Blvd,West Plains,MO,36.714712,-91.870322,bf8abe24-f56a-4a91-9a96-ceb0173c48d8
10,Sherwood Supercenter,9053 Highway 107,Sherwood,AR,34.838767,-92.236838,3ef0d4ac-f2c1-4d16-b29f-e54a49afa8cb
11,Harrison Supercenter,161 N Walmart Dr,Harrison,AR,36.269042,-93.139074,77390ece-b4aa-40f0-b678-fa9bee444c89
12,Commerce Supercenter,30983 Highway 441 S,Commerce,GA,34.247854,-83.456616,68826f8b-c468-4c61-b65d-9a22ac34c911
13,Van Buren Supercenter,2214 Fayetteville Rd,Van Buren,AR,35.469113,-94.353427,9e833860-abe7-4522-a49a-20c84a40f6b9
14,Newport Supercenter,1211 Highway 367 N,Newport,AR,35.618058,-91.254954,4d947d2f-9798-4aa5-bcde-be23e14ee921
15,Morrilton Supercenter,1621 North Business 9,Morrilton,AR,35.168795,-92.726727,547fd60d-63cc-4d13-8676-04efa706db5c
16,Neosho Supercenter,3200 Lusk Dr,Neosho,MO,36.839161,-94.397282,6d8bcfb8-ce94-4921-a3e5-e5ee335f5704
17,Saint Robert Supercenter,185 Saint Robert Blvd,Saint Robert,MO,37.825154,-92.152265,0037d700-bfb6-4543-9b68-9ff839c6b292
18,Poplar Bluff Supercenter,333 S Westwood Blvd,Poplar Bluff,MO,36.755728,-90.411818,f8546d29-9e56-401a-950e-0bdff9d275f7
19,Pryor Supercenter,4901 S Mill St,Pryor,OK,36.262476,-95.330024,2eed0912-ae72-4b65-a552-e15d785db960
20,Clinton Supercenter,1712 E Ohio St,Clinton,MO,38.362772,-93.750585,431b2e9f-020a-4193-88f0-7c1b238d7364
21,Jacksonville Supercenter,2000 John Harden Dr,Jacksonville,AR,34.885098,-92.11255,7ecd4d6b-9376-44e0-a926-f42c5b02b87e
22,Leavenworth Supercenter,5000 10th Ave,Leavenworth,KS,39.268764,-94.930386,4388ed6e-5b30-4671-bc3c-1302b446e4f8
23,Ruston Supercenter,1201 N Service Rd E,Ruston,LA,32.543518,-92.624043,d942a77a-019b-43db-b9fb-b1a1ba3e1332
24,Mexico Supercenter,4820 S Clark St,Mexico,MO,39.120508,-91.890515,b7bbea77-c625-4b0f-90ff-abe473b8d66e
25,Salem Supercenter,1101 W Highway 32,Salem,MO,37.634119,-91.546043,9469f6ca-41ef-454b-8c18-546a829b81ea
26,Miami Supercenter,2415 N Main St,Miami,OK,36.904509,-94.880384,14617e5a-5222-48ae-90ab-67dd762c3ff0
27,Dexter Supercenter,2025 W Business Us Highway 60,Dexter,MO,36.801185,-89.992373,48b7c7a1-9549-469a-88dd-0bcbfc00a38b
28,Poteau Supercenter,3108 N Broadway St,Poteau,OK,35.094581,-94.628209,a6d67c9d-0aff-4e04-87a0-fa3a81d1701c
29,Branson Store,2050 W 76 Country Blvd,Branson,MO,36.639045,-93.259769,51dd14f7-63da-415b-a6f3-f2bdc4940244
30,Manhattan Supercenter,101 Bluemont Ave,Manhattan,KS,39.188472,-96.556204,59f687d1-e88a-41da-a474-b4498ba8b857
31,Nevada Supercenter,2250 Lincoln Ave,Nevada,MO,37.832201,-94.326552,a4228442-7d64-49d5-82f9-965f1ebc92f3
32,Nashville Supercenter,1710 S 4th St,Nashville,AR,33.925385,-93.857443,8ab948c0-b3f7-4795-881d-3622d66e79c4
33,Paragould Supercenter,2802 W Kingshighway,Paragould,AR,36.057305,-90.52294,a019252c-59e2-4185-bb34-e19bc61f7d79
34,Farmington Supercenter,707 Walton Dr,Farmington,MO,37.7894913,-90.4353609,bbd6fe5e-f473-4a83-a660-9d80c1969f9f
35,Idabel Supercenter,1907 Se Washington St,Idabel,OK,33.898037,-94.803528,ad648a87-973a-45b2-9424-7d5a085f5f0d
36,Bartlesville Supercenter,4000 Se Green Country Rd,Bartlesville,OK,36.740695,-95.931584,033697bd-c824-4959-bf34-3aa359333c4a
37,Fort Scott Supercenter,2500 S Main St,Fort Scott,KS,37.807978,-94.708671,92555e17-bf4e-4240-80ab-552a7461eeb1
38,Coffeyville Supercenter,1863 Cr 5300,Coffeyville,KS,37.042359,-95.579038,2c8a3d7f-9e36-4998-82da-68e1bffa6d25
39,Moberly Supercenter,1301 E Highway 24,Moberly,MO,39.4476727,-92.4204522,6bd7d264-1033-4dd0-a41c-dcb2536771f5
40,Eldon Store,1802 S Business 54,Eldon,MO,38.3352206,-92.5838242,4d89635f-7b55-43c2-b8bf-048625d425c6
41,Jefferson City Supercenter,724 Stadium West Blv,Jefferson City,MO,38.580049,-92.219907,d6ced3be-1739-4c94-a9a4-dc2248879aa0
42,Junction City Supercenter,521 E Chestnut St,Junction City,KS,39.018965,-96.820674,72927758-cdd1-4081-bf01-dab48ddeed88
43,Bolivar Supercenter,2451 S Springfield Ave,Bolivar,MO,37.591722,-93.403975,0b998272-7175-48ff-9a46-1506b835cec6
44,Jonesboro Supercenter,1815 E Highland Dr,Jonesboro,AR,35.81895,-90.685267,3ee2738c-1040-4d7b-9d82-654633682475
45,Monett Supercenter,885 E Us Highway 60,Monett,MO,36.911771,-93.903147,144b4ae5-8526-4549-8044-7eadc4d955c9
46,Hot Springs Supercenter,1601 Albert Pike Rd,Hot Springs,AR,34.490929,-93.089251,f914576e-a033-4e79-8fc5-a18dd9c04a72
47,Vinita Supercenter,268 S 7th St,Vinita,OK,36.631855,-95.140418,2f771c3a-b684-46aa-bf0c-5d0cc6561086
48,Sallisaw Supercenter,1101 W Ruth Ave,Sallisaw,OK,35.451011,-94.80181,d6b01251-426d-4296-9b43-8c68a6c1fadf
49,Hugo Supercenter,1911 E Jackson St,Hugo,OK,34.007244,-95.487949,b816bd4c-a221-41bc-83f1-6ce08220a74c
50,Fulton Supercenter,1701 N Bluff St,Fulton,MO,38.864222,-91.945748,62550e28-5960-4f73-add9-9e527c457234
51,Springdale Supercenter,2004 S Pleasant St,Springdale,AR,36.166247,-94.146954,b83dbded-feee-4b16-9f1d-688eca3d95e7
52,Ava Supercenter,1309 Nw 12th Ave,Ava,MO,36.959408,-92.676527,be648b65-831e-45d9-81bb-ebfe790c5a0b
53,Russellville Supercenter,2409 E Main St,Russellville,AR,35.280505,-93.105157,7c48f85e-4204-4eb0-b82a-172d143f6325
54,Booneville Supercenter,1400 East Main St,Booneville,AR,35.1433678,-93.9018368,5658a91c-c761-468c-a626-4e9b6c1c6008
55,Warrensburg Supercenter,301 E Cooper St,Warrensburg,MO,38.781105,-93.735334,d3d040dd-4aa8-4c95-b7df-31c3d3c627b0
56,Troy Supercenter,101 Highway 47 E,Troy,MO,38.988635,-90.982017,d23901c8-8fd3-4a79-9824-509f9224c8a9
57,Walnut Ridge Store,1600 W Main St,Walnut Ridge,AR,36.07663,-90.97439,ce1d1042-0974-40fc-8a5e-2576330c6289
58,Joplin Supercenter,1501 S Range Line Rd,Joplin,MO,37.072928,-94.472782,76a058db-5fdc-42b3-8872-f82772cf5ad0
59,Blytheville Supercenter,3700 E Highway 18,Blytheville,AR,35.931083,-89.872175,85743031-1517-4f75-a71c-a83e07547346
60,Wynne Supercenter,800 Highway 64 E,Wynne,AR,35.253427,-90.777454,8fa7885b-da77-4afa-9ed1-e8cbbd906134
61,Brownsville Supercenter,1100 S Dupree Ave,Brownsville,TN,35.5867,-89.238093,5efab95d-6374-4759-82e6-b4fe2dc94454
62,Clarksville Supercenter,230 Market St.,Clarksville,AR,35.4486832,-93.4604664,ba107e1e-89e2-4d78-9f66-a29f7ee908ed
63,Mena Supercenter,600 Highway 71 N,Mena,AR,34.588589,-94.225872,7da5ae57-de06-44e7-879b-4531c07897e0
64,Sullivan Supercenter,350 Park Ridge Rd,Sullivan,MO,38.22075,-91.154792,f4ad7786-05f2-4dd1-a9a5-5286f971625e
65,Festus Supercenter,650 S Truman Blvd,Festus,MO,38.211942,-90.387955,78abaf97-dd65-4958-81e3-5475f20deaec
66,Pittsburg Supercenter,2710 N Broadway St,Pittsburg,KS,37.433957,-94.702301,1a0fa0e5-734b-4578-b705-82159fd77a54
67,Osceola Supercenter,2720 W Keiser Ave,Osceola,AR,35.6999918,-90.0126791,a8722fbc-7a52-4bc8-9d53-ded06da44760
68,West Memphis Supercenter,798 W Service Rd,West Memphis,AR,35.165456,-90.20001,16a450c8-63e1-4a04-867e-3be0afd436c6
69,Sapulpa Supercenter,1002 W Taft St,Sapulpa,OK,35.986324,-96.135074,6e00c3d6-a473-4887-8823-05aa90eaaabc
70,Pocahontas Supercenter,1415 Highway 67 S,Pocahontas,AR,36.248722,-90.963337,44e61a34-09ca-49d9-ad3d-9585fb78f913
71,Wagoner Supercenter,410 S Dewey Ave,Wagoner,OK,35.95667,-95.397539,af972fa9-7d41-4b06-b983-a2aaec3866a5
72,Pineville Supercenter,3636 Monroe Hwy,Pineville,LA,31.367011,-92.406583,e57eadc2-23f0-46c9-955c-a31eddd2978b
73,Taylor Supercenter,3701 N Main St,Taylor,TX,30.598559,-97.418418,127688f8-2901-42ab-886b-7cfba86fd47e
74,Marshfield Supercenter,14740 State Hwy #38,Marshfield,MO,37.337928,-92.939632,37fad714-f744-4943-8fd3-19ec0de90b77
75,Columbia Supercenter,3001 W Broadway,Columbia,MO,38.957069,-92.382341,a959acb5-cdeb-4889-891e-587949dfb3c2
76,Joplin Supercenter,2623 W 7th St,Joplin,MO,37.087131,-94.545908,4db2b369-077f-4136-8eaa-e5c9ededa440
77,Berryville Supercenter,1000 W Trimble Ave,Berryville,AR,36.376273,-93.5870153,5b1c14db-1cdd-4bee-aadf-add7c6bed142
78,Perryville Supercenter,1750 S Perryville Blvd,Perryville,MO,37.705668,-89.896103,ea10ebd2-4d2c-41cf-bead-92a040a1764f
79,Magnolia Supercenter,60 Highway 79 N,Magnolia,AR,33.276653,-93.212017,041c51b7-014a-406b-93fd-d583335939a4
80,Stilwell Supercenter,Rr 6 Box 1895,Stilwell,OK,35.798588,-94.623206,803daaa3-f687-4ed1-87f2-9ba65069b139
